ticket_text,channel,response_hours,escalated
i am trying to understand the subscription renewal no rush at all,chat,11.44,0
this is the third time i am writing about the api rate limit this is unacceptable no rush at all,email,12.94,0
i have been charged twice for the monthly usage report i am considering cancelling thanks in advance,chat,10.53,1
i am trying to understand the invoice on my account thanks in advance,email,6.35,0
wondering if it is possible to the monthly usage report no rush at all,chat,6.16,0
this is the third time i am writing about the data export feature and i still have no answer,portal,2.22,0
wondering if it is possible to the discount that was applied no rush at all please escalate this to a manager,portal,9.04,1
quick question about the mobile app login no rush at all,phone,2.11,1
i want a refund for the monthly usage report i expect this resolved today whenever you get a chance,email,24.77,0
wondering if it is possible to the mobile app login thanks in advance,phone,1.18,0
i am trying to understand the monthly usage report thanks for the help i am considering cancelling,email,6.56,0
wondering if it is possible to the discount that was applied thanks in advance i expect this resolved today,portal,1.84,0
could you please explain the seat i removed last month thanks for the help,portal,1.4,0
quick question about the discount that was applied no rush at all,phone,3.86,1
wondering if it is possible to the monthly usage report whenever you get a chance,chat,4.45,0
wondering if it is possible to the api rate limit no rush at all,email,3.77,0
i am trying to understand the seat i removed last month happy to send screenshots,chat,9.68,0
wondering if it is possible to the mobile app login happy to send screenshots this is unacceptable,chat,8.5,0
i am trying to understand the monthly usage report thanks in advance,portal,7.51,1
your team promised a fix last week for the subscription renewal please escalate this to a manager,email,4.86,0
wondering if it is possible to the subscription renewal no rush at all,phone,10.89,0
this is the third time i am writing about the mobile app login this is unacceptable,chat,0.44,1
just checking on the api rate limit whenever you get a chance,chat,7.02,0
nobody has replied to my messages about the mobile app login i am considering cancelling,email,5.43,0
quick question about the data export feature whenever you get a chance,portal,10.86,0
quick question about the invoice on my account whenever you get a chance,portal,6.97,0
i am trying to understand the monthly usage report happy to send screenshots,email,2.73,0
quick question about the data export feature happy to send screenshots,portal,16.79,0
i am trying to understand the data export feature happy to send screenshots,email,2.64,0
quick question about the subscription renewal no rush at all,email,12.98,0
wondering if it is possible to the monthly usage report thanks for the help,email,6.59,0
your team promised a fix last week for the data export feature i expect this resolved today,chat,17.63,0
your team promised a fix last week for the subscription renewal i expect this resolved today thanks in advance,portal,13.04,1
nobody has replied to my messages about the mobile app login and i still have no answer,portal,19.41,1
i have been charged twice for the data export feature please escalate this to a manager,chat,14.12,0
wondering if it is possible to the monthly usage report thanks for the help and i still have no answer,chat,2.03,0
could you please explain the seat i removed last month thanks for the help,email,1.55,1
i am trying to understand the discount that was applied happy to send screenshots,email,1.98,0
nobody has replied to my messages about the subscription renewal i expect this resolved today,chat,3.93,1
i am trying to understand the monthly usage report no rush at all and i still have no answer,email,6.15,0
wondering if it is possible to the discount that was applied thanks in advance,phone,3.51,0
could you please explain the invoice on my account happy to send screenshots,chat,1.65,0
quick question about the api rate limit thanks in advance,portal,2.77,0
could you please explain the subscription renewal thanks for the help,portal,11.5,1
could you please explain the discount that was applied thanks for the help i am considering cancelling,portal,3.17,1
quick question about the data export feature whenever you get a chance i am considering cancelling,email,4.6,0
could you please explain the subscription renewal whenever you get a chance,email,3.75,0
nobody has replied to my messages about the monthly usage report please escalate this to a manager,chat,1.8,1
i want a refund for the invoice on my account please escalate this to a manager,email,8.88,1
i am trying to understand the seat i removed last month thanks for the help,portal,4.83,0
wondering if it is possible to the subscription renewal thanks in advance,email,3.0,0
your team promised a fix last week for the monthly usage report please escalate this to a manager,chat,28.69,0
i am trying to understand the mobile app login thanks for the help,email,11.68,0
nobody has replied to my messages about the mobile app login please escalate this to a manager,chat,5.84,1
quick question about the subscription renewal whenever you get a chance,chat,3.76,0
i want a refund for the subscription renewal this is unacceptable,email,14.14,1
wondering if it is possible to the monthly usage report thanks for the help this is unacceptable,phone,4.62,0
just checking on the seat i removed last month thanks in advance,phone,3.11,0
your team promised a fix last week for the subscription renewal and i still have no answer,email,5.65,0
just checking on the api rate limit thanks in advance,phone,12.44,0
your team promised a fix last week for the monthly usage report i expect this resolved today thanks in advance,email,5.3,0
this is the third time i am writing about the data export feature i expect this resolved today,email,5.21,0
i have been charged twice for the subscription renewal and i still have no answer,email,3.23,1
could you please explain the discount that was applied thanks for the help,phone,1.73,1
your team promised a fix last week for the subscription renewal this is unacceptable,chat,5.81,0
your team promised a fix last week for the data export feature i expect this resolved today,portal,3.92,0
could you please explain the subscription renewal no rush at all,email,3.95,1
i am trying to understand the mobile app login whenever you get a chance,email,15.01,0
your team promised a fix last week for the mobile app login i am considering cancelling,chat,11.43,1
wondering if it is possible to the invoice on my account happy to send screenshots,portal,4.93,1
just checking on the data export feature happy to send screenshots,chat,2.26,0
could you please explain the data export feature no rush at all,portal,2.21,0
could you please explain the invoice on my account happy to send screenshots,phone,9.13,0
i want a refund for the api rate limit and i still have no answer,email,16.01,0
i am trying to understand the api rate limit happy to send screenshots,chat,3.35,0
your team promised a fix last week for the seat i removed last month i am considering cancelling whenever you get a chance,chat,7.55,0
nobody has replied to my messages about the mobile app login and i still have no answer,portal,16.16,1
i am trying to understand the monthly usage report happy to send screenshots,email,6.82,0
wondering if it is possible to the discount that was applied thanks for the help,chat,2.12,0
i have been charged twice for the invoice on my account this is unacceptable whenever you get a chance,email,24.36,0
i am trying to understand the api rate limit no rush at all,chat,3.93,0
wondering if it is possible to the invoice on my account thanks for the help,chat,8.78,0
this is the third time i am writing about the api rate limit and i still have no answer,chat,12.39,1
wondering if it is possible to the invoice on my account thanks for the help,email,1.33,1
wondering if it is possible to the data export feature whenever you get a chance,chat,3.68,1
just checking on the subscription renewal thanks in advance,email,2.34,0
just checking on the data export feature happy to send screenshots,chat,4.11,0
quick question about the seat i removed last month whenever you get a chance i expect this resolved today,email,3.79,1
wondering if it is possible to the seat i removed last month whenever you get a chance,chat,2.65,0
i want a refund for the invoice on my account this is unacceptable no rush at all,chat,10.66,1
could you please explain the discount that was applied thanks for the help,email,5.28,1
this is the third time i am writing about the monthly usage report this is unacceptable thanks in advance,email,6.97,0
just checking on the api rate limit thanks in advance i am considering cancelling,email,11.13,1
i have been charged twice for the monthly usage report and i still have no answer,chat,6.35,1
nobody has replied to my messages about the subscription renewal this is unacceptable,email,5.69,1
nobody has replied to my messages about the data export feature i am considering cancelling,email,7.63,1
wondering if it is possible to the api rate limit whenever you get a chance,portal,6.54,0
wondering if it is possible to the invoice on my account whenever you get a chance please escalate this to a manager,email,1.57,0
could you please explain the seat i removed last month thanks in advance,portal,10.26,0
i have been charged twice for the monthly usage report i expect this resolved today,email,4.29,0
could you please explain the subscription renewal thanks in advance,email,8.76,0
could you please explain the data export feature thanks for the help,phone,5.33,1
your team promised a fix last week for the data export feature please escalate this to a manager,chat,2.59,1
your team promised a fix last week for the data export feature i expect this resolved today,email,14.23,1
i am trying to understand the mobile app login no rush at all,email,14.01,0
your team promised a fix last week for the data export feature i expect this resolved today,phone,15.43,0
just checking on the seat i removed last month thanks for the help this is unacceptable,chat,6.33,0
just checking on the discount that was applied happy to send screenshots,portal,6.22,1
this is the third time i am writing about the data export feature i expect this resolved today,chat,22.49,1
i want a refund for the seat i removed last month this is unacceptable no rush at all,chat,16.44,1
your team promised a fix last week for the monthly usage report this is unacceptable happy to send screenshots,email,11.04,0
i am trying to understand the api rate limit thanks for the help,chat,3.47,0
could you please explain the mobile app login thanks for the help,email,1.95,0
just checking on the api rate limit thanks in advance,email,0.83,0
this is the third time i am writing about the discount that was applied please escalate this to a manager,email,16.29,0
could you please explain the subscription renewal happy to send screenshots i expect this resolved today,email,2.12,0
wondering if it is possible to the data export feature happy to send screenshots,email,3.15,0
i am trying to understand the monthly usage report thanks for the help,chat,13.44,0
i want a refund for the discount that was applied this is unacceptable thanks in advance,email,16.87,0
just checking on the mobile app login happy to send screenshots,chat,1.52,0
just checking on the api rate limit whenever you get a chance,chat,3.35,0
wondering if it is possible to the monthly usage report thanks in advance,email,3.43,1
nobody has replied to my messages about the monthly usage report and i still have no answer,email,6.13,0
this is the third time i am writing about the seat i removed last month i am considering cancelling,phone,9.33,0
just checking on the api rate limit whenever you get a chance,chat,0.77,1
quick question about the invoice on my account no rush at all,phone,2.56,0
wondering if it is possible to the api rate limit happy to send screenshots,chat,2.57,1
quick question about the api rate limit whenever you get a chance,portal,3.71,1
nobody has replied to my messages about the seat i removed last month i am considering cancelling,phone,26.99,1
could you please explain the seat i removed last month whenever you get a chance and i still have no answer,email,10.86,0
your team promised a fix last week for the discount that was applied i am considering cancelling,chat,16.15,1
i have been charged twice for the data export feature and i still have no answer thanks in advance,email,5.69,1
i have been charged twice for the api rate limit and i still have no answer no rush at all,chat,4.49,0
your team promised a fix last week for the seat i removed last month please escalate this to a manager,chat,12.59,1
i want a refund for the mobile app login i am considering cancelling happy to send screenshots,email,10.95,0
this is the third time i am writing about the monthly usage report i expect this resolved today,email,1.25,0
quick question about the api rate limit happy to send screenshots,email,11.87,1
i am trying to understand the seat i removed last month whenever you get a chance,phone,2.58,0
your team promised a fix last week for the subscription renewal i expect this resolved today,email,6.77,0
this is the third time i am writing about the invoice on my account and i still have no answer,portal,13.77,1
nobody has replied to my messages about the invoice on my account i am considering cancelling,portal,12.91,1
just checking on the discount that was applied happy to send screenshots,portal,8.02,0
this is the third time i am writing about the data export feature i am considering cancelling,phone,12.3,1
quick question about the monthly usage report thanks for the help,portal,3.24,0
just checking on the api rate limit happy to send screenshots,portal,11.99,0
i have been charged twice for the discount that was applied and i still have no answer,email,5.11,1
wondering if it is possible to the discount that was applied thanks in advance and i still have no answer,phone,8.5,1
wondering if it is possible to the invoice on my account thanks in advance,email,17.96,1
nobody has replied to my messages about the mobile app login i expect this resolved today,email,13.38,0
i am trying to understand the seat i removed last month happy to send screenshots,email,4.07,0
quick question about the invoice on my account thanks in advance,email,5.53,0
this is the third time i am writing about the discount that was applied i expect this resolved today,portal,9.51,0
your team promised a fix last week for the seat i removed last month please escalate this to a manager,email,21.35,1
wondering if it is possible to the data export feature whenever you get a chance i expect this resolved today,portal,14.71,0
i am trying to understand the seat i removed last month happy to send screenshots,email,5.54,0
i have been charged twice for the invoice on my account this is unacceptable,email,7.83,1
quick question about the invoice on my account happy to send screenshots,chat,7.37,0
i am trying to understand the mobile app login whenever you get a chance,email,6.32,0
just checking on the api rate limit thanks in advance and i still have no answer,email,11.26,0
i want a refund for the seat i removed last month this is unacceptable,email,17.54,0
this is the third time i am writing about the data export feature and i still have no answer thanks for the help,chat,4.09,0
your team promised a fix last week for the mobile app login i am considering cancelling,portal,2.63,1
i am trying to understand the discount that was applied thanks in advance,chat,11.2,1
nobody has replied to my messages about the subscription renewal i expect this resolved today,email,9.19,0
just checking on the monthly usage report happy to send screenshots,email,9.63,0
i have been charged twice for the data export feature please escalate this to a manager,portal,4.72,0
quick question about the data export feature thanks in advance i am considering cancelling,email,0.84,0
could you please explain the data export feature no rush at all,email,0.92,0
wondering if it is possible to the monthly usage report whenever you get a chance,email,1.56,0
i am trying to understand the mobile app login thanks for the help,chat,6.64,1
nobody has replied to my messages about the data export feature please escalate this to a manager,chat,28.19,1
just checking on the api rate limit no rush at all,chat,5.83,0
this is the third time i am writing about the seat i removed last month and i still have no answer happy to send screenshots,chat,23.11,1
this is the third time i am writing about the api rate limit please escalate this to a manager,email,6.21,0
quick question about the monthly usage report whenever you get a chance,email,2.03,0
your team promised a fix last week for the api rate limit i expect this resolved today,portal,12.83,1
this is the third time i am writing about the monthly usage report i expect this resolved today,email,17.31,0
quick question about the monthly usage report thanks for the help,chat,7.64,1
your team promised a fix last week for the discount that was applied and i still have no answer,chat,3.23,1
wondering if it is possible to the subscription renewal thanks in advance,portal,7.46,0
this is the third time i am writing about the discount that was applied i expect this resolved today,chat,18.09,0
this is the third time i am writing about the mobile app login and i still have no answer,email,1.16,1
quick question about the invoice on my account no rush at all,chat,1.04,1
i am trying to understand the discount that was applied thanks for the help i am considering cancelling,phone,5.92,0
wondering if it is possible to the mobile app login happy to send screenshots,email,3.57,0
could you please explain the subscription renewal thanks in advance,portal,5.66,0
quick question about the data export feature thanks for the help,email,1.04,0
quick question about the monthly usage report whenever you get a chance i expect this resolved today,portal,7.44,0
could you please explain the seat i removed last month happy to send screenshots,email,6.29,0
nobody has replied to my messages about the data export feature please escalate this to a manager,chat,3.73,0
your team promised a fix last week for the api rate limit i expect this resolved today,email,5.06,0
quick question about the invoice on my account happy to send screenshots,chat,8.91,1
i want a refund for the data export feature this is unacceptable,email,0.91,0
this is the third time i am writing about the api rate limit this is unacceptable,phone,3.37,1
i have been charged twice for the api rate limit i am considering cancelling whenever you get a chance,chat,8.33,1
nobody has replied to my messages about the invoice on my account i am considering cancelling thanks for the help,portal,4.07,1
wondering if it is possible to the data export feature thanks in advance,phone,10.1,0
this is the third time i am writing about the discount that was applied this is unacceptable,portal,9.6,0
this is the third time i am writing about the monthly usage report and i still have no answer whenever you get a chance,chat,27.45,1
i have been charged twice for the invoice on my account and i still have no answer,chat,0.44,0
just checking on the subscription renewal no rush at all,email,8.39,0
this is the third time i am writing about the seat i removed last month please escalate this to a manager,phone,3.01,1
i have been charged twice for the mobile app login and i still have no answer,email,4.13,0
could you please explain the subscription renewal thanks for the help this is unacceptable,chat,1.32,0
quick question about the subscription renewal thanks in advance,portal,9.56,0
i am trying to understand the subscription renewal thanks in advance,chat,12.69,0
i have been charged twice for the api rate limit this is unacceptable,email,8.82,0
i have been charged twice for the data export feature i am considering cancelling no rush at all,portal,5.38,1
could you please explain the api rate limit thanks in advance,portal,1.87,0
just checking on the data export feature thanks in advance,portal,6.97,1
quick question about the data export feature thanks in advance,email,3.06,0
i am trying to understand the seat i removed last month thanks in advance,email,9.73,1
i am trying to understand the discount that was applied whenever you get a chance,phone,6.12,0
wondering if it is possible to the invoice on my account thanks in advance i am considering cancelling,email,2.27,0
i want a refund for the mobile app login please escalate this to a manager,phone,2.58,1
nobody has replied to my messages about the api rate limit and i still have no answer happy to send screenshots,portal,8.06,1
i have been charged twice for the subscription renewal and i still have no answer,email,2.99,0
i am trying to understand the data export feature happy to send screenshots this is unacceptable,chat,2.76,0
quick question about the monthly usage report whenever you get a chance,email,4.35,0
i am trying to understand the invoice on my account thanks for the help,portal,8.14,0
i want a refund for the subscription renewal this is unacceptable,email,3.89,1
could you please explain the discount that was applied happy to send screenshots,email,4.12,0
i have been charged twice for the api rate limit and i still have no answer,email,7.54,0
your team promised a fix last week for the discount that was applied i expect this resolved today,phone,14.4,0
this is the third time i am writing about the seat i removed last month please escalate this to a manager,email,23.14,0
just checking on the data export feature thanks for the help,email,2.36,0
i am trying to understand the subscription renewal no rush at all please escalate this to a manager,portal,18.57,1
could you please explain the seat i removed last month thanks for the help,email,9.05,0
could you please explain the data export feature thanks for the help,chat,6.94,0
this is the third time i am writing about the monthly usage report please escalate this to a manager,chat,13.77,1
i am trying to understand the seat i removed last month thanks in advance this is unacceptable,phone,17.36,0
wondering if it is possible to the invoice on my account happy to send screenshots i expect this resolved today,email,6.29,0
i have been charged twice for the monthly usage report please escalate this to a manager thanks in advance,email,20.36,0
this is the third time i am writing about the seat i removed last month this is unacceptable thanks in advance,email,10.24,1
could you please explain the mobile app login whenever you get a chance,chat,1.61,0
i am trying to understand the mobile app login thanks in advance,email,6.34,0
your team promised a fix last week for the api rate limit i am considering cancelling,email,35.75,1
could you please explain the monthly usage report whenever you get a chance i expect this resolved today,chat,3.32,0
wondering if it is possible to the subscription renewal whenever you get a chance,chat,3.86,0
just checking on the discount that was applied happy to send screenshots and i still have no answer,email,1.18,0
nobody has replied to my messages about the invoice on my account i am considering cancelling,email,3.19,0
nobody has replied to my messages about the monthly usage report please escalate this to a manager,email,4.81,1
nobody has replied to my messages about the invoice on my account and i still have no answer,email,12.26,1
wondering if it is possible to the invoice on my account thanks for the help,portal,4.7,1
could you please explain the mobile app login no rush at all i expect this resolved today,chat,2.09,0
quick question about the monthly usage report whenever you get a chance,portal,9.5,0
nobody has replied to my messages about the mobile app login please escalate this to a manager,portal,4.11,0
i have been charged twice for the monthly usage report i am considering cancelling,chat,13.59,0
wondering if it is possible to the invoice on my account thanks in advance,email,4.16,0
your team promised a fix last week for the monthly usage report please escalate this to a manager,email,9.42,1
i have been charged twice for the mobile app login and i still have no answer,email,3.07,1
wondering if it is possible to the data export feature no rush at all,email,5.55,0
wondering if it is possible to the invoice on my account happy to send screenshots i expect this resolved today,email,6.42,0
nobody has replied to my messages about the discount that was applied and i still have no answer,portal,34.98,1
wondering if it is possible to the mobile app login happy to send screenshots,phone,1.01,0
quick question about the data export feature no rush at all this is unacceptable,chat,3.14,1
just checking on the data export feature no rush at all,chat,4.3,1
quick question about the seat i removed last month thanks in advance,email,12.08,0
i am trying to understand the discount that was applied whenever you get a chance,email,2.45,0
i have been charged twice for the mobile app login i am considering cancelling,portal,35.93,1
nobody has replied to my messages about the seat i removed last month i am considering cancelling,chat,7.04,0
i want a refund for the monthly usage report i am considering cancelling,chat,4.42,0
your team promised a fix last week for the monthly usage report and i still have no answer,chat,5.56,0
wondering if it is possible to the subscription renewal thanks in advance,chat,11.06,1
just checking on the seat i removed last month thanks in advance,email,4.24,0
this is the third time i am writing about the invoice on my account this is unacceptable,portal,11.32,0
quick question about the discount that was applied thanks for the help,chat,7.31,0
just checking on the discount that was applied whenever you get a chance,portal,13.49,0
i am trying to understand the seat i removed last month thanks in advance,email,6.1,0
i want a refund for the seat i removed last month and i still have no answer,portal,6.11,0
could you please explain the seat i removed last month no rush at all,email,16.16,0
could you please explain the data export feature happy to send screenshots i am considering cancelling,email,9.17,0
could you please explain the mobile app login thanks for the help,chat,6.24,0
this is the third time i am writing about the seat i removed last month please escalate this to a manager,chat,2.41,0
i am trying to understand the subscription renewal thanks for the help and i still have no answer,email,7.85,0
i have been charged twice for the mobile app login i am considering cancelling,chat,15.75,0
this is the third time i am writing about the monthly usage report i expect this resolved today,email,42.07,1
wondering if it is possible to the seat i removed last month no rush at all,portal,2.87,0
just checking on the data export feature no rush at all,chat,13.53,0
your team promised a fix last week for the api rate limit and i still have no answer,email,19.22,1
your team promised a fix last week for the mobile app login please escalate this to a manager,portal,7.29,0
i want a refund for the seat i removed last month this is unacceptable,chat,11.91,1
i want a refund for the api rate limit i expect this resolved today whenever you get a chance,email,9.48,0
your team promised a fix last week for the discount that was applied this is unacceptable,email,6.92,1
this is the third time i am writing about the subscription renewal this is unacceptable,email,31.09,1
your team promised a fix last week for the api rate limit i expect this resolved today no rush at all,chat,26.16,1
just checking on the api rate limit thanks in advance,email,5.16,0
just checking on the invoice on my account thanks for the help and i still have no answer,chat,2.5,0
just checking on the invoice on my account thanks in advance,portal,6.11,0
could you please explain the mobile app login whenever you get a chance,chat,8.95,0
nobody has replied to my messages about the subscription renewal please escalate this to a manager,portal,3.36,0
nobody has replied to my messages about the api rate limit i am considering cancelling whenever you get a chance,chat,16.03,1
i have been charged twice for the data export feature i am considering cancelling,email,6.54,1
wondering if it is possible to the mobile app login thanks for the help i expect this resolved today,chat,3.81,0
i want a refund for the subscription renewal this is unacceptable,chat,2.56,0
your team promised a fix last week for the subscription renewal i am considering cancelling,portal,8.95,1
this is the third time i am writing about the mobile app login and i still have no answer,chat,3.62,0
just checking on the api rate limit happy to send screenshots,email,4.21,0
i am trying to understand the invoice on my account happy to send screenshots,phone,1.12,1
i am trying to understand the discount that was applied thanks for the help,chat,2.54,0
wondering if it is possible to the seat i removed last month no rush at all,chat,1.49,1
wondering if it is possible to the mobile app login whenever you get a chance,chat,10.71,0
quick question about the api rate limit thanks in advance,portal,5.31,0
quick question about the seat i removed last month whenever you get a chance,phone,16.26,0
i am trying to understand the data export feature thanks for the help,email,3.13,0
wondering if it is possible to the mobile app login thanks in advance,email,5.8,0
quick question about the seat i removed last month thanks for the help,portal,6.32,1
could you please explain the mobile app login whenever you get a chance,email,1.38,0
quick question about the invoice on my account happy to send screenshots please escalate this to a manager,chat,4.25,0
wondering if it is possible to the subscription renewal no rush at all,email,11.82,1
your team promised a fix last week for the monthly usage report and i still have no answer,portal,4.54,1
nobody has replied to my messages about the data export feature i am considering cancelling,chat,5.66,1
i have been charged twice for the discount that was applied this is unacceptable,email,15.44,0
your team promised a fix last week for the monthly usage report please escalate this to a manager thanks in advance,chat,11.06,0
i am trying to understand the discount that was applied happy to send screenshots,chat,2.79,0
i am trying to understand the subscription renewal whenever you get a chance,portal,2.45,0
i have been charged twice for the mobile app login this is unacceptable,portal,13.0,1
just checking on the api rate limit happy to send screenshots,phone,2.11,1
i have been charged twice for the api rate limit i am considering cancelling,portal,12.96,1
i am trying to understand the subscription renewal thanks for the help i expect this resolved today,email,2.78,0
wondering if it is possible to the data export feature thanks in advance,email,12.0,0
i want a refund for the seat i removed last month i expect this resolved today,portal,6.7,1
nobody has replied to my messages about the data export feature this is unacceptable,email,12.44,0
your team promised a fix last week for the monthly usage report and i still have no answer,chat,12.27,1
nobody has replied to my messages about the discount that was applied this is unacceptable,phone,14.2,1
i am trying to understand the data export feature no rush at all,chat,0.6,0
could you please explain the subscription renewal no rush at all,portal,3.98,0
i have been charged twice for the subscription renewal and i still have no answer,chat,17.97,1
your team promised a fix last week for the monthly usage report i expect this resolved today,portal,9.01,1
quick question about the api rate limit thanks for the help,phone,1.91,0
i am trying to understand the data export feature whenever you get a chance,email,12.8,0
your team promised a fix last week for the monthly usage report please escalate this to a manager,portal,12.27,1
wondering if it is possible to the data export feature thanks for the help this is unacceptable,email,6.1,0
just checking on the monthly usage report thanks in advance,chat,2.72,0
i want a refund for the mobile app login this is unacceptable,chat,6.87,1
could you please explain the mobile app login no rush at all,email,8.19,0
i want a refund for the mobile app login and i still have no answer,email,13.97,1
just checking on the monthly usage report no rush at all,portal,5.05,0
i am trying to understand the seat i removed last month happy to send screenshots,chat,6.95,0
quick question about the seat i removed last month no rush at all,chat,2.27,0
quick question about the mobile app login thanks for the help this is unacceptable,portal,18.27,0
your team promised a fix last week for the mobile app login this is unacceptable,email,3.73,0
your team promised a fix last week for the seat i removed last month i expect this resolved today,email,6.71,0
i have been charged twice for the monthly usage report i expect this resolved today,phone,3.91,0
i have been charged twice for the subscription renewal and i still have no answer,chat,16.7,1
your team promised a fix last week for the monthly usage report please escalate this to a manager,chat,6.57,0
wondering if it is possible to the api rate limit whenever you get a chance this is unacceptable,email,7.67,0
i am trying to understand the api rate limit thanks for the help,email,5.38,0
wondering if it is possible to the subscription renewal no rush at all,portal,6.28,1
nobody has replied to my messages about the seat i removed last month i expect this resolved today,chat,3.99,0
wondering if it is possible to the subscription renewal no rush at all please escalate this to a manager,email,10.75,0
your team promised a fix last week for the mobile app login and i still have no answer,email,8.0,0
quick question about the invoice on my account no rush at all,email,5.62,0
i am trying to understand the subscription renewal thanks for the help,chat,3.99,0
wondering if it is possible to the data export feature thanks in advance,chat,12.06,1
wondering if it is possible to the data export feature happy to send screenshots,email,7.59,0
this is the third time i am writing about the subscription renewal this is unacceptable,portal,6.07,0
quick question about the seat i removed last month no rush at all,chat,5.19,1
wondering if it is possible to the mobile app login whenever you get a chance,phone,0.57,0
could you please explain the discount that was applied happy to send screenshots,email,5.39,0
could you please explain the seat i removed last month thanks in advance,portal,5.51,0
could you please explain the invoice on my account happy to send screenshots,email,11.46,0
this is the third time i am writing about the mobile app login i am considering cancelling,email,23.61,1
could you please explain the monthly usage report happy to send screenshots,email,7.44,0
nobody has replied to my messages about the invoice on my account and i still have no answer,phone,11.69,0
quick question about the invoice on my account whenever you get a chance,email,9.05,0
wondering if it is possible to the seat i removed last month thanks for the help,chat,5.57,0
your team promised a fix last week for the discount that was applied this is unacceptable,email,8.43,1
just checking on the discount that was applied no rush at all,portal,1.08,1
i have been charged twice for the mobile app login i expect this resolved today,phone,3.06,1
could you please explain the monthly usage report happy to send screenshots,email,0.33,0
just checking on the data export feature happy to send screenshots this is unacceptable,email,13.28,0
i am trying to understand the invoice on my account whenever you get a chance,portal,5.55,0
your team promised a fix last week for the discount that was applied i am considering cancelling,chat,0.75,1
nobody has replied to my messages about the data export feature please escalate this to a manager,chat,17.99,0
quick question about the api rate limit whenever you get a chance,email,13.46,0
i want a refund for the api rate limit i am considering cancelling whenever you get a chance,email,8.02,1
wondering if it is possible to the mobile app login thanks in advance,chat,2.58,0
nobody has replied to my messages about the discount that was applied i expect this resolved today,chat,22.54,1
i have been charged twice for the monthly usage report and i still have no answer,chat,44.93,1
i am trying to understand the monthly usage report whenever you get a chance,chat,6.89,0
nobody has replied to my messages about the monthly usage report i expect this resolved today,chat,2.72,0
nobody has replied to my messages about the subscription renewal i expect this resolved today,chat,14.52,1
i want a refund for the api rate limit this is unacceptable,chat,14.78,1
could you please explain the subscription renewal thanks for the help and i still have no answer,chat,22.9,0
just checking on the data export feature whenever you get a chance,phone,9.08,0
i have been charged twice for the data export feature and i still have no answer,chat,7.97,0
this is the third time i am writing about the mobile app login please escalate this to a manager,chat,13.08,1
wondering if it is possible to the invoice on my account thanks in advance,chat,3.37,0
nobody has replied to my messages about the invoice on my account i am considering cancelling,email,19.45,1
i am trying to understand the seat i removed last month thanks in advance,email,3.25,0
wondering if it is possible to the subscription renewal no rush at all,portal,4.74,0
wondering if it is possible to the monthly usage report whenever you get a chance,email,3.54,1
i want a refund for the invoice on my account and i still have no answer,phone,27.51,1
quick question about the data export feature no rush at all,email,13.93,0
